Country,Code,Year,Per.capita.plastic.waste..kg.person.day.,Region
Jordan,JOR,2010,0.144,Middle East & North Africa
Kenya,KEN,2010,0.027,Sub-Saharan Africa
Kiribati,KIR,2010,0.103,East Asia & Pacific
Kuwait,KWT,2010,0.686,Middle East & North Africa
Latvia,LVA,2010,0.124,Europe & Central Asia
Lebanon,LBN,2010,0.094,Middle East & North Africa
Liberia,LBR,2010,0.084,Sub-Saharan Africa
Libya,LBY,2010,0.144,Middle East & North Africa
Lithuania,LTU,2010,0.132,Europe & Central Asia
Madagascar,MDG,2010,0.016,Sub-Saharan Africa
Malaysia,MYS,2010,0.198,East Asia & Pacific
Maldives,MDV,2010,0.322,South Asia
Malta,MLT,2010,0.214,Middle East & North Africa
Marshall Islands,MHL,2010,0.192,East Asia & Pacific
Mauritania,MRT,2010,0.045,Sub-Saharan Africa
Mauritius,MUS,2010,0.23,Sub-Saharan Africa
Mexico,MEX,2010,0.087,Latin America & Caribbean
Monaco,MCO,2010,0.252,Europe & Central Asia
Montenegro,MNE,2010,0.144,Europe & Central Asia
Morocco,MAR,2010,0.073,Middle East & North Africa
Mozambique,MOZ,2010,0.015,Sub-Saharan Africa
Myanmar,MMR,2010,0.075,East Asia & Pacific
Namibia,NAM,2010,0.144,Sub-Saharan Africa
Netherlands,NLD,2010,0.424,Europe & Central Asia
New Caledonia,NCL,2010,0.252,East Asia & Pacific
New Zealand,NZL,2010,0.331,East Asia & Pacific
Nicaragua,NIC,2010,0.143,Latin America & Caribbean
Nigeria,NGA,2010,0.103,Sub-Saharan Africa
Northern Mariana Islands,MNP,2010,0.252,East Asia & Pacific
Norway,NOR,2010,0.28,Europe & Central Asia
Oman,OMN,2010,0.084,Middle East & North Africa
Pakistan,PAK,2010,0.103,South Asia
Palau,PLW,2010,0.144,East Asia & Pacific
Panama,PAN,2010,0.145,Latin America & Caribbean
Papua New Guinea,PNG,2010,0.103,East Asia & Pacific
Peru,PER,2010,0.144,Latin America & Caribbean
Philippines,PHL,2010,0.075,East Asia & Pacific
Poland,POL,2010,0.097,Europe & Central Asia
Portugal,PRT,2010,0.265,Europe & Central Asia
Puerto Rico,PRI,2010,0.252,Latin America & Caribbean
Qatar,QAT,2010,0.16,Middle East & North Africa
Romania,ROU,2010,0.042,Europe & Central Asia
Samoa,WSM,2010,0.103,East Asia & Pacific
Sao Tome and Principe,STP,2010,0.103,Sub-Saharan Africa
Saudi Arabia,SAU,2010,0.156,Middle East & North Africa
Senegal,SEN,2010,0.103,Sub-Saharan Africa
Seychelles,SYC,2010,0.358,Sub-Saharan Africa
Sierra Leone,SLE,2010,0.041,Sub-Saharan Africa
Singapore,SGP,2010,0.194,East Asia & Pacific
Sint Maarten (Dutch part),SXM,2010,0.252,Latin America & Caribbean
Slovenia,SVN,2010,0.145,Europe & Central Asia
Solomon Islands,SLB,2010,0.103,East Asia & Pacific
Somalia,SOM,2010,0.054,Sub-Saharan Africa
South Africa,ZAF,2010,0.24,Sub-Saharan Africa
Spain,ESP,2010,0.277,Europe & Central Asia
Sri Lanka,LKA,2010,0.357,South Asia
Sudan,SDN,2010,0.103,Sub-Saharan Africa
Suriname,SUR,2010,0.163,Latin America & Caribbean
Sweden,SWE,2010,0.048,Europe & Central Asia
Tanzania,TZA,2010,0.023,Sub-Saharan Africa
Thailand,THA,2010,0.144,East Asia & Pacific
Togo,TGO,2010,0.057,Sub-Saharan Africa
Tonga,TON,2010,0.223,East Asia & Pacific
Trinidad and Tobago,TTO,2010,0.29,Latin America & Caribbean
Tunisia,TUN,2010,0.144,Middle East & North Africa
Turkey,TUR,2010,0.212,Europe & Central Asia
Turks and Caicos Islands,TCA,2010,0.252,Latin America & Caribbean
Tuvalu,TUV,2010,0.144,East Asia & Pacific
Ukraine,UKR,2010,0.103,Europe & Central Asia
United Arab Emirates,ARE,2010,0.199,Middle East & North Africa
United Kingdom,GBR,2010,0.215,Europe & Central Asia
United States,USA,2010,0.335,North America
Uruguay,URY,2010,0.252,Latin America & Caribbean
Vanuatu,VUT,2010,0.295,East Asia & Pacific
Vietnam,VNM,2010,0.103,East Asia & Pacific
